big_cat,small_cat,product_id,product_name,review_text,review_summary
mealkit,100002491,4872736184,애슐리 봉골레 크림 빠네 파스타 (2인분) 쿠킹박스 밀키트 생일상 홈파티 집들이 세트요리,"['재료준비 완벽히 잘 되어있고 레시피 보고 따라만하니 쉽게 만들고 맛은 보장된 맛이라 아이들이 정말 맛있어했어요. 특히 빠네  빵 파내는것도 재밌어했고 빠네를 크림소스에 먹으니 입에서 살살 녹아서 제입에도 애들 입맛에도 딱이었어요. ', '만드는 것도 쉽게 맛있게 잘 먹었숩니다  빵도 맛있고 크림파스타도 맛있었어요 ㅋㅋㅋ 처음에는 엄청 맛있는데 2/3부터는 살짝 느끼함이 올라오더라고요 ㅋㅋ 갠적인생각인데 취향대로 넣으라고 청양고추 다진걸 조금 넣어주시면 끝까지 안느끼하고 맛있게 먹었을 것 같습니다 바지락도 깨끗히 씻어서 들어 있어서 그리고 변한것도 없이 상태 좋은 애들로 들어 있어서 다 맛있게 먹었습니다 ', '너무 맛있어요 빠에 파스타 너무 먹고 싶었는데 직접 해먹으니 어렵지 않고 맛있네요 하나만 사도 둘이 먹을 수 있고 빵도 너무 맛있네요 ', '빵은 에어프라이어기에 돌렸는데 바삭해서 좋았습니다.  🎈 ', '찐하고 고소하고 크림 파스타가 먹고싶을때 시키는 애슐리빠네크림파스타. ', '우선 맛은 좋아요 빨간 고추가 들어있어서 매콤하니 느끼하지 않더라구요 ', '맛있고 간편합니다. 빵은 오븐이 있다면 돌려서 먹을때 더 맛있어요~ ', '파스타도 봉골레 베이스가 추가되어 더욱 맛있어 진것 같습니다 ', '소스도 뻑뻑하고 집밖에 나가는것이 힘들고 바빠서 바로 먹을수 있는 밀키트원했는데 애슐리 초심을 잃었군요  만들기도 너무 불편하고 맛도 진짜 없어요 ', '크림맛이 이상해요..... 제께 상한건지 참 ;; 맛이이상해서 고춧가루 좀 넣었는데도 크림파스타 맛이 아니라 좀 이상해서.. 빵은 맛있어요.. ']",빵이 정말 바삭하고 맛있어요. 소스가 뻑뻑하지만 고추가 들어있어서 매콤하고 느끼하지 않아요.
mealkit,100002496,4736265860,충무로38한우곱창전골,"['곱창 잡내 1도 없고 질기지도 않고 쫀득쫀득한데 국물은 매콤하고 깔끔해요 이 칼칼한 국물에 소주 6병 일도 아니겠는데요??😎 지난번에 매장에서 너무 맛있게 먹었었거든요 ', '곱창 대창 염통 다 질기지 않고 잡내도 나지않아서 너무 맛있게 먹었어요^^ 고민하고 있었는데 오늘바로 배송이 와서 덕분에 맛있는 저녁먹었어요!! ', '포장 완벽하구요, 고기부위도 종류별로 많아서 다양한맛을 느낄수있었구요, 결론은 맛있습니다. ', '진짜 맛있어요 창원에 살아서 가게가서도 먹어봤는데 똑같이 맛있고 오히려 고기 양이 더 많은 느낌 ? ㅠㅠ 너무 맛있어서 맛보고 다른 친구집에 연말선물로 하나 보내줬어요ㅠㅠ ㅠㅠ hearts; 버섯도 통통한 새송이랑 팽이버섯 왔는데 역시 존맛  끓이면서 먹으면 더 맛있다고 했는데 휴대용 버너가 없어서 ㅠㅠ 다음엔 친구한테 버너 빌려서 먹어보려고요,,(또 먹을 핑계) 한식처돌이라서 느끼한거 예민하고 잘 못먹어가 곱창전골치고 기름도 별로 안 뜨고 소주 땡기는 맛 ㅎㅅ ㅎ 소주랑도 먹어야 하니까 꼭 한 번 더 먹어야겠네요 진짜 너무 너무 맛있어서 1인 1소스 하고 싶어요 간장 소스 같은데 넘 맛있고 곱창전골이랑 넘 잘어울려요 맛있어서 울뻔 했어요 ', '요리못하는 1인으로 설명서 순서대로 하니 세상편함ㅋㅋ 곱창전골보다 원래 구이를 선호하는편인데 먹어보니 진짜 맛있습니다. 울집에서 입맛 젤 까다로운 오빠도 맛있게 잘먹고... 전골 싫어하는 엄마도 국물이 깔끔하다면서  맛있게 잘먹었다고 하시네요^^ 국물맛이 진하면서 구수한맛도 나고... 글고 찍어먹는 소스도 단듯하면서도 청양고추가 들어있어서 살짝 매콤한맛이있어 찍어먹음 느끼함을 잡아주는듯한 뭔가 중독성이 있는맛이에요... 남은 국물은 국자로 퍼 먹을정도로 진짜 맛있었습니다. 맛있게 잘 먹었습니다~♡ ', '이건 국물 맛과 관련된 부분이라 업체에서 제일 맛있는 조합으로 하셨을 듯 합니다. 곱창전골 좋아하는데 먹어본 맛집들과 비교해서도 맛 훌륭합니다. ', '일단 정말 맛있어요.... 우삼겹과 염통도 있어서 골라먹는 재미도 있고 무엇보다 국물이 엄청 진하고 구수하면서 고춧가루 추가해 먹으니 칼칼해서 맛있었습니다. 이후에 볶음밥 먹을때 찍먹소스 부어서 먹었는데 그것도 엄청 맛나더라구요 ㅋㅋㅋ 진짜 잘먹었어요. ', '냄새 때문에 걱정했는데 전혀나지않고 너무 맛나게 잘 먹었습니다^^ ', '깔끔한 맛이라는 글도 봤는데 저는 텁텁하면서 닝닝? ', '고기가 아예 녹아서 갈색으로 젖어있었어요 느끼한것만 빼면 맛있어요 ']",고기 부위가 종류별로 많아서 좋았어요. 잡내도 나지않았구요. 국물도 매콤하고 정말 맛있어요.
mealkit,100002493,2264114915,감바스 알 아히요 (2인분) 외 우리집 홈스토랑 메뉴,"['다만 야채개봉할때 살짝 썩은내가 나서 한참을 재료 하나하나 냄새른 맡아밧네요~ 설명서대로 조리해서 먹어보니 꽤 괜찮읍니다~^^ ', '야채도 적당히 골고루 들어 있어서 새우와 같이 먹으면 조화가 괜찮습니다. 그리고 빵에 바르는 마늘소스도 개인적으로는 너무 달았네요, 감바스는 여전히 맛있었습니다. ', '빵이랑 같이먹으면 너무 맛있어요!! ', '코로나가 퍼지기 전 1월초 다녀온 스페인에서 먹은 것 보다 단언컨대 더 맛있습니다! ', '올리브오일에 빵 찍어 먹으니 맛있네요 ㅎㅎ ', '정량이니 간도 딱 맞고 오동통한 새우와 싱싱한 채소 뇸뇸. ', '맛은 향신료 톡쏘는 맛과 고추의 알싸한 맛이 좋았습니다. ', '큰새우, 버섯,로즈마리,편마늘,페퍼론치노 구성에 시즈닝배합이 딱맞아 넘 맛있습니다 ', '마늘듬뿍해야 맛있는거같아요 맛 : 조금 짜긴한데 대체적으로 맛 괜찮았어요! ', '화학조미료맛심함.  ㅇ ']",조금 짜지만 올리브오일에 빵 찍어먹으니 너무 맛있어요.
mealkit,100002491,4248890629.csv,34년 전통 일산교자 수제 닭칼국수 밀키트 맛집 택배 칼국수 밀키트,"['육수 진하기도 옅어졌구요. ', '(1인분이니까요) 좀 더 있다가 육수가 많기 때문에 조큼 남겨놨다가 밥넣고 계란 하나 무심히 툭 넣어서 죽을 해먹어여.. ', '1인분만 끓였는데 양도 너무 많고 끓이다 국물한번 떠먹고 뒤로 쓰러졌어요 진하고 정말 맛있는 국물맛에 놀라 신랑이랑 뒤로 자빠졌습니다 다 끓이고 면을 먹어봤는데 진짜 쫠깃거리고 밀가루냄새도 안나고 진짜 정말 리얼리 맛있었어요 그리고 겉절이도 달고 안맵고 배추풋내안나고 맛있고요! 닭비린내도 안나고요! 괜히 30년전통의 맛집이 아니었어요! 사장님 번창하시고 건강하시고 많이 파시고 맨날 맛있는 칼국수 만들어주세용♡♡ ', '국물이 진하고 담백하니 맛있어요~ ', '너무맛있어서 재구매했어요 칼국수면넣어서 끓여먹으니 우리집이 맛집이고ㅜㅜ 김치도 정말 칼국수맛집가면 주는 그 김치라 너무맛있어요ㅠㅠ ', '(같이주신 김치로 맛나게 순삭) 이번 여름 다가오는 복날에도 추가주문해서 가족들과 함께 먹어야겠어요^^ ', '저 닭칼국수 처음 먹어보는데요, 너무 맛있네요! 더구나 김치도 있고 하니깐 간 추가로 안치고도 충분히 적당하게 즐길 수 있어요 ㅎㅎ 김치맛 정말 정석👍👍🥺❤ 2. 종종 시키겠습니다!! 잘먹었습니다❤❤ ', '칼국수는 그냥 여기가 제일 맛있어요~ 여기는 옛날부터 계속 맛있었음 그리고 칼국수집은 김치가 제일 중요한데  여기 김치도 맛있음  이집은 칼국수, 해물파전, 만두 다 맛있음..! 칼국수 면 적어보였는데 끍이면 엄청 많아요 ', '그냥 두가지맛을 한번에 즐긴다고 생각하고 먹고있는데 맛있네요 오히려 닭육수였으면 저한테 좀 비렸을수도 있겠다싶어욬ㅋㅋㅋ 아무튼 맛있어서 마음이 누그러집니다ㅋㅋ ', '들깨를 안넣어서인지 명동칼국수처럼 걸쭉하지도 않고 뭔가 특별한 맛이 느껴지지 않네요. 김치도 마늘향이 깊은 것도 아니고.. ']",같이 주시는 김치가 달고 안맵고 배추 풋내도 안나서 정말 맛있어요! 국물도 정말 맛있구요.
mealkit,total,348622358.csv,누가 끓여도 우리집을 맛집으로 만들어주는 이귀남찜닭 (3-4인용),"['맛있어요. 매콤해서 더 안느끼하고 맛있는것같아요. ㅎ 외식 할 필요 없을듯~ 조리도 간편하고 맛도 굿~ 가격에 비해 닭은 작지만 당면이 많아서 둘이 먹고 남았어요~  밥까지 먹을 생각하면 3.4명도 먹을수 있을것같아요~ ', '너무 맛있습니다 매운걸 좋아하는 가족이라 다 넣고 먹었는데 매콤하니 정말 맛있게 먹었습니다 ', '저희집 초딩들 입에도 맞구요  호불호가 없이 전 연령이 즐길 수 있는 맛있는 찜닭입니다 덕분에 맛있는 찜닭 먹을 수 있어 너무 좋네요 ', '매운맛이 기본이라셔서 아이들 때문에 건고추 빼고 했는데 괜찮았네요^^ ', '닭이 신선하고 조리법과 재료가 꼼꼼하게 포장되어 도착하였답니다. 너무 맛있게 잘 먹었습니다. ', '생닭이구 야채에 너무 신선해서 밭에서 막 수확한 것 같아요. 전 일요일 날 먹을거라 닭 한번 씻어서 물과 소스 넣고 하루 정도 재다 먹었는데 와 진짜 맛있어요. ', '포장이 꼼꼼히 되어있어도 아이스팩이녹아 맛은 정말 맛있지만 닭에서 약간 비린내가 나서 후기를 그대로 남겼는데 사장님이 고객을 대하시는 모습에 저는 정말 놀라기도하고 감동도 받았습니다. 이귀남 찜닭 강추합니다. ', '건고추 넉넉히 주셔서 반만 넣었는데도 매콤해요. 너무너무 맛있어요. ', 'Sns에 왜 유명한지 모르겠음  짜고 깊은맛이없다   물을 좀더붓고 더 끓였더니 그나마 나아졌는데  칭찬만 자자한 sns  입맛은 개인적인거지만  이해가안갔던제품 ', '양념이 맛있어요 ']",양념이 매콤하고 맛있어요. 호불호 없이 전 연령이 즐길 수 있지만 깊은 맛은 없어요.
mealkit,total,4746882567.csv,바지락 칼국수 수제비 칼제비 2인분 팔공산얼큰이,"['육수가 진해서 집에 있던 감자도 같이 넣었어요. 정말 맛있게 한 끼 해결했어요! 칼국수 면발은 얇아서 금방 익을 것 같아 수제비 먼저 투척 후 칼국수의 밀가루를 물로 헹궈서 면을 넣어줬답니다. ', '바지락도 너무 신선하고 배추랑 미역이 수제비랑 같이먹으니깐 너무 맛잇어요 ', '진짜 맛있구여ㅜㅠㅠ 국물이 넘 맛있어서 밥도 한공기 떠서 둘이 나눠먹었답니다... ', '요즘 집에서 집밥만 먹다보니 면이 먹고 싶었는데, 정말 일부러 찾아가서 먹을만하단 생각이 들 정도로 맛있네요. 칼국수 색이 노란빛을 띄어서 더 맛있게 느껴진다고 아이가 그러더라구요. 수제비도 칼국수도 쫄깃하니 너무 맛있었어요. ', '수제비 반죽도 적당해서 뜯는데 편했어요~~바지락수제비를 이렇게 쉽게 집에서 맛볼 줄이야~~담에 또 시킬께요^^ ', '자주 먹고 있는 제품이고 너무 맛있어요. 냉동실에 넣어두고 먹어도 맛있어요. ', '칼국수 칼제비 엄청 좋아해서  맛집 일부러 엄청 찾아다니는 1인입니다:) 유명맛집 칼국수를 이렇게 빠른 배송에 간편하고 맛있게 즐길 수 있어서 너무 좋네요👍 색깔만보면 매울거 같았는데 맵찔이 분들도 맛있게 먹을 수 있을 정도입니다! 텁텁한 칼국수 맛 아니고 전체적으로 깔끔한 맛이라  더욱 맛있게 먹었습니다! 간장이나 소금간 등 따로 추가해서 더 넣지않고 그대로 먹어봤는데, 저는 간이 딱 알맞았네요! ', '정작 대구거주할땐 사람들 많은거 흘끗 보고 지나가며 한번도 못먹어봤는데 서울와선 우연히 타임세일 문구보고 구매하게 되었네요. 조리법대로 물 양 맞춰서 했는데 저희입엔 조금 짜서 물 좀더 넣으니 맛있네요. ', '간 자체가 안되어있어 밍밍하기만 하고 맛이라는거 자체가 없어요. ', '수제비 반죽이 쫄깃해야되는데 탄력없이 흐물흐물해서 식감이 안좋고 육수도 감칠맛이 없어요. 바지락은 해감이 잘 안돼 모레가 씹히고 깨진 조개까지 씹혀 총체적 난국ㅠㅠ 평소가던 인천 벌말 매운탕 집이 워낙 수제비 맛집이라 심히 비교가 되네요. ']",육수가 진해서 국물이 넘 맛있어요. 수제비 칼국수도 쫄깃해서 좋아요.
mealkit,total,691648926.csv,[식스레시피]감바스 알 아히요 쿠킹박스(2인분),"['집에서 술 안주로도 좋고~ 밀키트라서 재료들이 다 준비되어 오기 때문에 하나하나 살 필요없고~ 재료 남아서 걱정할 필요없고, 특히 식스레시피 감바스 알 아히요는 새우도 탱글탱글하게 크더라구요. 새우랑 마늘이랑 올려서~~먹으면 짱 맛나요 ^^ 그래서 더 풍미가득한 것 같아요. 그냥 오일에 찍어먹어도 맛나요. 오일에 마늘의 풍미가 가득하거든요 ^^ 어느정도 남았을 때 파스타 면을 넣고 오일파스타 만들어 먹어도 맛있어요. ', '특히 새우가 진짜 실하고 탱탱하고 식감 장난아니고 맛있더라고요 진짜 핵존맛탱  마늘얹어서 같이먹었더니 저 잠깐 저세상 다녀왔답니다 넘넘 맛있어요 ', '', '그때 너무 맛나게 먹구 엄마아빠가 눈에 밟혀 또 바로 주문해서 해드렸는데 너무 좋아하셔서 뿌듯했어요 단음식이기 아니구 살짝 매콤하다보니 어른들 입맛에두 좋은가봐요^^ ', '빵이 특히 맛있습니다! 방울토마토 추가해서 먹으니 더 맛있어요 ', '근데 딱적량으로 재료가 오니까 순서대로만 했을뿐인데 너무맛있게 완성이되고, 간편하고, 전체적으로 배송포장상태부터 요리를다했을때까지 만족대만족 이였습니다. 감바스에 새우도 진짜 엄청통통하고 커서, 가격대비 대만족입니다ㅎ 빵도 엄청맛있어요! ', '맛도좋고굿입니다~ 맛있다고잘먹네요. 새우랑바게뜨가맛나다며.. ', '재료도 아낌없이 많이 주시고, 음식도 맛있고 편하고. ', '감바스맛은평범하네요 새우가신선해요 ', '참 빵이 맛이없어요. 집주변 빵집에서 바케트빵 사서 드시는것을 추천합니다. ']","빵이 특히 맛있고, 새우도 탱글탱글하니 너무 맛있어요."
mealkit,total,4079851993.csv,애슐리 오리지널 까르보나라 떡볶이 2인분 밀키트/쿠킹박스,"['요리에 필요한 재료들이 꼼꼼하게 들어있어서 아주 편하고 맛도 매우 좋았습니다 소스가 아주 많이 들어있어서 좋아하는 면사리를 넣었더니 더욱 풍부하게 즐길 수 있었고요 기호에 따라서 고추를 썰어넣으면 매콤하고 고소한 게 끝도 없이 들어가네요 ', '소스가 맛있어서 볶음밥에 비벼 먹으니 리조또 같은데 그보다 덜 느끼하고 좋아요. ㅎㅎ 까르보나라 소스에 몽골리안 덥밥 비벼 먹으면 엄청 맛있거든요. ', '크림이 느끼하지않고 맛있어요. ', '이번 떡은 예전만큼 부드럽지 않더라구요. ', '완전 맛있어요! 씹히는 맛이 알싸,매콤해서 느끼하지않아요ㅎㅎ ', '소스가 진해서 맛있어요. 좀 느끼할 것 같아서 안동찜닭 밀키트에 들어있던 건고추랑 후추를 더 넣었더니 맛있었어요. ', '파지타는 어떻게 만들어 먹느냐에 따라 맛이 달라지는... 퀘사디아 맛났구요 ', '더 느끼하게 먹고 싶어서 치즈 한장 추가했다가 짜서 죽을뻔 했어요 ', '저번엔 크림소스가 너무 고소하고 맛있었는데 이번엔 후추를 얼마나 왕창 크림소스안에 넣었는지 ', '바뀐 건 소스가 아니고 그냥 크림만 있어서 전이랑 맛이 완전 다릅니다 떡은 마지막에 쓴맛 나고 전체적으로 이상했어요 ']",떡이 부드럽지 않고 전체적으로 이상했어요. 소스는 크림이 느끼하지 않고 맛있어요.
mealkit,total,569281876.csv,안방에서 즐기는 ~ 안동시장 찜닭 쿠킹박스(2인),"['조리도 간편하고 맛도 있고 양도 많고 좋습니다ㅎㅎ 육수가 달달해서 밥볶아먹으면 진짜 맛있을거같은데 그냥 국물에 밥비벼먹는 것도 맛있어요ㅎㅎ ', '당근만 살짝 추가해서 애들 너무 맛있다고 ㅋ당면이 좀더 많으면 좋겠어요. 납작당면 맛나요 ', '달지만 맛있어요 ', '다만 간장소스가 너무 달아요. ', '댓글들 전부 읽어보고 좀 짜다는 이야기가 있어 미리 각오는 했지만 평소에 싱겁게 먹는 제 입맛엔 너무 짰어요.. ', '정육이 다릿살이라 부드럽고 버섯도 맛있는데 양념이 매우 달아요. ', '저번에 맛있게 먹어서 이번에 또 주문했는데 같은거긴한데 약간 심심한 느낌? ', '보내주신 육수만 부어도 맛이 약해지않아요. 소스가 정말 구미를 당깁니다. ', '닭에서 심하게 닭비린내가 나요. ', '너무돈아깝고 너무 맛없었어요 ']",소스가 좀 짜고 과하게 달달해요. 그래도 맛있어요.
mealkit,total,4596972442.csv,"프로즌 5분완성 마라탕 (2인분) / 야채3종, 마라재료6종, 소고기 등 10가지 재료","['찍먹 부먹 다 가능 (전 다 좋음 ㅎ) 저는 만두같은것도 넣어서 먹어봤는데 죤맛탱입니다. 친구들중에 향때문에 쌀국수 안먹는 친구들도 많아서.. 순한맛보단 확실히 맛은 강할것같긴한데 다음에 또 시키게 되도 저는 자극적이고 향이 강한걸 먹을것같아요. ', '신선도 신선이지만 떡도 맛있고 건두부도 맛있구요! 옥수수면 추가한것도 아주 맛있었습니다. 사실 마라탕 중국당면 들어가줘야 더 맛있는데 양이 너무 적어서 아쉬웠어요. 마라 맛 맛있게 나면서 아주 잘 먹었습니다. ', '마라탕을 좋아하는동생이 꼭 먹어보라하여 손쉽게 집에서 먹을수 있는 것을 알아보다 제일 간편하고 손쉬운 프로즌 마라탕을 찾아 구매하였습니다  처음 접하는 사람을 위해 순한맛/ 진한맛 나누어져 있어서 좋았어요 ! ', '내용물이 완벽하진 않지만 집에 있는 야채를 추가해서 먹으니 맛있습니다 ', '와 진짜 맛있었어요~ 집에 있던 어묵이랑 콩나물 더 넣고 끓였더니 더 푸짐해졌네요. 그래도 진짜 맛나게 먹었어요! ', '딸의 말대로  중독성 있는  맛이네요. 맛있고 깨끗한 음식 감사합니다. 추가로  숙주랑 청경채  더 넣어서 먹었더니  아삭아삭 더 맛있게 먹었습니다. 냉동 보관상태  깨끗하고  고기도 붉은 빛이 진한게  상태 좋았구요. ', '배달마라보다 천만배 맛이 좋습니다 ', '진한맛 먼저멱었는데 맛있어요 순한맛도 맛있기를 ', '그러니 채소도 흐물흐물하고 다 얼어터져서 건져지지도 않고 맛도없고 싱싱한지 구별도 안되잖아요. 쓴맛도 있고요. 펜넬+팔각    쓴맛 때문에 진짜 맛 없었어요. 국물에서 담백하면서 감칠맛이 내는 약간의 단맛 조차도 없어서 다신 먹고싶지 않아요. 피쉬볼이랑 당면은 괜찮았습니다. ', '평소에 마라탕 맵게 먹는것도 좋아하고 향신료도 잘 먹는편인데  진짜 화장품 향 나요 ,,,ㅠ 제 입맛에는 너무 안 맞아요 ']",순한맛 진한맛으로 나눠져있어요. 재료 더 넣어서 먹으니까 맛있어요.
mealkit,total,5142361686.csv,은영이떡볶이 밀떡 로제 짜장 쌀 떡볶이 밀키트,"['너무너무 맛있네요 시즈닝을 순한맛으로 선택했는데 보통맛 이상으로 주문해도 될것 같아요 너무 맛있게 잘먹었습니다 ', '보통맛 주문했는데 먹을땐 살짝 매콤했지만 개운한 매운맛입니다 떡이 쫄깃하고 어묵 너무 맛있어요!! 떡뽁이 밀키트 여러가지 먹어봤는데 은영이 떡뽁이 재구매 100%입니다 ', '포장도 깔끔하고 맛도 좋고👍🏻 덕분에 떡볶이로 한끼 잘 때우고~ 몇개 안시켰는 데 많이 시킬 걸 후회하는 중입니다~ 일단 맛있어요.. 떡볶이 다 비슷비슷 한거 같아도 맛있는 떡볶이는 따로 있네요😊 매운맛, 순한맛 두개 다 끓였는데 일단 떡볶이 좋아하는 우리딸은 둘 다 맛있다고 하고, 매운거 먹으면 큰일나는 줄 아는 7살짜리 아들은 순한맛 잘먹었어요~ ', '떡이 진짜 바로 뽑아온 떡으로 한 것처럼 쫄깃쫄깃하고 맛있네요. 어묵도 맛있고~~아이들이 해먹기도 간편하고 좋겠어요. 국물떡볶이 좋아하는데 맛도 있고 간편해서 재구매합니다~ ', '먹을때는 약간 매운데 먹고난후 매운맛이 남지 않고 깔끔하네요 ', '순한맛, 보통맛의 차이는 달달함 차이가 있구요~~ ', '떡볶이는 매운게 맛인데 순한맛 역시 너무 훌륭한 맛이네요~ 맵지않지만 맛좋은?ㅋㅋ ', '너무 맛있는 은영이 떡볶이💕 재재재... 구매  기다리다 눈물나고 기뻐서 눈물나고 맛있어서 눈물나는 은영이 떡 볶 이 🥳  차곡차곡 꼼꼼히 넣어서 꽝꽝언 생수 두병과같이 잘 도착했습니다. 콧물나게 매운맛 먹고나면 행복해지지요. ', '집에서 해먹는 떡볶이 맛이고 개인적으로 멸치맛이 많이 나서 아쉬웠어요.. 떡이 정말 쫄깃하고 맛있습니다. ', '개인적으로는 조미료맛이 너무 강해서... ']",떡이 정말 쫄깃쫄깃하고 맛있어요. 보통맛은 살짝 매운데 깔끔하네요.
mealkit,total,4540931944.csv,50년전통 부산 조방낙지 낙곱새,"['라면사리를 넣어서 조금 뻑뻑했어요 그렇다고 느끼하지는 않아요 . 너무너무 맛있어서 왜 제가 처음부터 두개 끓이지 않았는지 제자신을 원망하고 또 원망하며 먹었습니다ㅋㅋ . ', '낙곱새는 일반 낙지볶음이나 쭈꾸미, 오징어 볶음과 같은 요리와는 달리 국물이 많아요~ 너무 오래 끓이면 새우의 수분도 다 빠져 작아지고 곱창과 낙지는 질겨져요.. 요거 끓이고 부침개와 같은 사이드 메뉴 하나 더 준비해서 맛있게 밥에 비벼먹고 남은 국물로 김가루 듬뿍 뿌려 볶음밥까지 야무지게 해먹었어요~~^^  여기서... 지키셔서 맛있고 푸짐한 낙곱새 드세용~~~  덕분에 타향살이하며 부산 조방앞의 낙곱새 메뉴 한껏 즐겼습니다~^^ ', '저는 처음 주문해서 낙곱새라는 걸 처음 먹어봤는데요. 양념 맛을 헤칠까봐 우동 사리나 당면은 추가하지 않고 다 먹고 나서 양념에 밥에 김치,  김 넣어서 볶아 먹었는데 이것도 너무 맛있었어요. 콩나물은 데쳐서 넣으면 번거로울 거 같아 처음 육수 넣고 끓일 때 부터 넣었는데 식감이 맛있고 좋았어요. ', '양념은 정말 맛있었구용!! ', '진짜 맛있네요. 밥에 비벼먹으니까 더맛있어요.. 곱창들어가서 냄새가나진않을까했는데 전혀 냄새도 없고 맛있네요! ', '너무 맛있어요. 곱창도 생각보다 너무 맛있고 부드러워서 놀랐어요. ', '맛은 인정! 그리고 2개 샀는데 하나는 곱창 정말 곱도 많이 들어있고 최고였고 하나는 곱창이 그냥 쏘쏘ㅎ 암튼 너무 맛있고 양도 괜찮네요. 않고 맛있었어요. ', '다만 처음 끓였을 때는 다진마늘의 풍미가 강한편이었습니다. ', '심지어 껍질이 너무 질겨서 아예 씹히지도 않아요. ', '받자마자 1팩은 바로 끓여먹었는데 대창도 낙지도 다 질기네요. 대창은 진짜 넘 질겨서 고무줄씹는거 같아서 가족들이 다 못먹고 버렸어요~ㅠㅜ  제 개인적인 의견으로는 맛도 평범하고 먹다보면 좀 느끼하고 재구매할 생각은 전혀 안드네요. ']",곱창이랑 낙지가 조금 질긴 듯하지만 양념이 맛있어서 좋아요.
